Station,Date,On or Off,Time,Passenger
하단,20190101,승차,6,708
하단,20190101,승차,7,318
하단,20190101,승차,8,308
하단,20190101,승차,9,456
하단,20190101,승차,10,500
하단,20190101,승차,11,661
하단,20190101,승차,12,811
하단,20190101,승차,13,833
하단,20190101,승차,14,895
하단,20190101,승차,15,911
하단,20190101,승차,16,908
하단,20190101,승차,17,895
하단,20190101,승차,18,725
하단,20190101,승차,19,508
하단,20190101,승차,20,477
하단,20190101,승차,21,525
하단,20190101,승차,22,341
하단,20190101,승차,23,139
하단,20190101,하차,6,286
하단,20190101,하차,7,237
하단,20190101,하차,8,910
하단,20190101,하차,9,492
하단,20190101,하차,10,417
하단,20190101,하차,11,478
하단,20190101,하차,12,535
하단,20190101,하차,13,655
하단,20190101,하차,14,738
하단,20190101,하차,15,858
하단,20190101,하차,16,935
하단,20190101,하차,17,1010
하단,20190101,하차,18,927
하단,20190101,하차,19,710
하단,20190101,하차,20,599
하단,20190101,하차,21,586
하단,20190101,하차,22,434
하단,20190101,하차,23,252
하단,20190102,승차,6,434
하단,20190102,승차,7,1377
하단,20190102,승차,8,1775
하단,20190102,승차,9,1016
하단,20190102,승차,10,1003
하단,20190102,승차,11,1109
하단,20190102,승차,12,1234
하단,20190102,승차,13,1247
하단,20190102,승차,14,1671
하단,20190102,승차,15,1334
하단,20190102,승차,16,1442
하단,20190102,승차,17,1913
하단,20190102,승차,18,2233
하단,20190102,승차,19,1161
하단,20190102,승차,20,728
하단,20190102,승차,21,1126
하단,20190102,승차,22,802
하단,20190102,승차,23,412
하단,20190102,하차,6,929
하단,20190102,하차,7,1404
하단,20190102,하차,8,1491
하단,20190102,하차,9,1239
하단,20190102,하차,10,1019
하단,20190102,하차,11,1063
하단,20190102,하차,12,920
하단,20190102,하차,13,1117
하단,20190102,하차,14,1098
하단,20190102,하차,15,1104
하단,20190102,하차,16,1251
하단,20190102,하차,17,1647
하단,20190102,하차,18,2677
하단,20190102,하차,19,1634
하단,20190102,하차,20,815
하단,20190102,하차,21,633
하단,20190102,하차,22,494
하단,20190102,하차,23,278
하단,20190103,승차,6,412
하단,20190103,승차,7,1426
하단,20190103,승차,8,1843
하단,20190103,승차,9,1137
하단,20190103,승차,10,952
하단,20190103,승차,11,1132
하단,20190103,승차,12,1156
하단,20190103,승차,13,1213
하단,20190103,승차,14,1031
하단,20190103,승차,15,1135
하단,20190103,승차,16,1418
하단,20190103,승차,17,1957
하단,20190103,승차,18,2290
하단,20190103,승차,19,1172
하단,20190103,승차,20,969
하단,20190103,승차,21,726
하단,20190103,승차,22,474
하단,20190103,승차,23,171
하단,20190103,하차,6,884
하단,20190103,하차,7,1391
하단,20190103,하차,8,1406
하단,20190103,하차,9,1059
하단,20190103,하차,10,749
하단,20190103,하차,11,796
하단,20190103,하차,12,927
하단,20190103,하차,13,975
하단,20190103,하차,14,1032
하단,20190103,하차,15,1109
하단,20190103,하차,16,1180
하단,20190103,하차,17,1523
하단,20190103,하차,18,1991
하단,20190103,하차,19,1176
하단,20190103,하차,20,713
하단,20190103,하차,21,604
하단,20190103,하차,22,530
하단,20190103,하차,23,316
하단,20190104,승차,6,401
하단,20190104,승차,7,1389
하단,20190104,승차,8,1837
하단,20190104,승차,9,1098
하단,20190104,승차,10,984
하단,20190104,승차,11,1127
하단,20190104,승차,12,1274
하단,20190104,승차,13,1274
하단,20190104,승차,14,1216
하단,20190104,승차,15,1137
하단,20190104,승차,16,1488
하단,20190104,승차,17,2054
하단,20190104,승차,18,2459
하단,20190104,승차,19,1466
하단,20190104,승차,20,997
하단,20190104,승차,21,814
하단,20190104,승차,22,543
하단,20190104,승차,23,217
하단,20190104,하차,6,866
하단,20190104,하차,7,1401
하단,20190104,하차,8,1409
하단,20190104,하차,9,1001
하단,20190104,하차,10,774
하단,20190104,하차,11,861
하단,20190104,하차,12,926
하단,20190104,하차,13,981
하단,20190104,하차,14,1015
하단,20190104,하차,15,1122
하단,20190104,하차,16,1266
하단,20190104,하차,17,1608
하단,20190104,하차,18,2091
하단,20190104,하차,19,1384
하단,20190104,하차,20,775
하단,20190104,하차,21,641
하단,20190104,하차,22,590
하단,20190104,하차,23,408
하단,20190105,승차,6,290
하단,20190105,승차,7,478
하단,20190105,승차,8,817
하단,20190105,승차,9,916
하단,20190105,승차,10,1114
하단,20190105,승차,11,1212
하단,20190105,승차,12,1494
하단,20190105,승차,13,1581
하단,20190105,승차,14,1336
하단,20190105,승차,15,1286
하단,20190105,승차,16,1478
하단,20190105,승차,17,1776
하단,20190105,승차,18,1453
하단,20190105,승차,19,763
하단,20190105,승차,20,672
하단,20190105,승차,21,624
하단,20190105,승차,22,474
하단,20190105,승차,23,202
하단,20190105,하차,6,543
하단,20190105,하차,7,605
하단,20190105,하차,8,668
하단,20190105,하차,9,1028
하단,20190105,하차,10,701
하단,20190105,하차,11,820
하단,20190105,하차,12,863
하단,20190105,하차,13,1093
하단,20190105,하차,14,1030
하단,20190105,하차,15,1123
하단,20190105,하차,16,1147
하단,20190105,하차,17,1354
하단,20190105,하차,18,1327
하단,20190105,하차,19,922
하단,20190105,하차,20,823
하단,20190105,하차,21,711
하단,20190105,하차,22,653
하단,20190105,하차,23,406
하단,20190106,승차,6,181
하단,20190106,승차,7,275
하단,20190106,승차,8,497
하단,20190106,승차,9,636
하단,20190106,승차,10,757
하단,20190106,승차,11,859
하단,20190106,승차,12,917
하단,20190106,승차,13,1197
하단,20190106,승차,14,1524
하단,20190106,승차,15,1152
하단,20190106,승차,16,1346
